date,time,frame,frequency,amplitude,activity
30/08/2019,14:00,2960,0,0,9.141734193
30/08/2019,14:00,2970,0,0,9.242355458
30/08/2019,14:00,2980,0,0,9.00417286
30/08/2019,14:00,2990,0,0,9.458958589
30/08/2019,14:00,3000,0,0,8.212262362
30/08/2019,14:00,3010,0,0,9.363934304
30/08/2019,14:00,3020,0,0,9.139868533
30/08/2019,14:00,3030,0,0,8.163693012
30/08/2019,14:00,3040,0,0,9.283026847
30/08/2019,14:00,3050,0,0,8.669535637
30/08/2019,14:00,3060,0,0,8.153805014
30/08/2019,14:00,3070,0,0,9.082033072
30/08/2019,14:00,3080,0,0,9.928731786
30/08/2019,14:00,3090,0,0,8.396962705
30/08/2019,14:00,3100,0,0,7.806667869
30/08/2019,14:00,3110,0,0,7.763695499
30/08/2019,14:00,3120,0,0,8.878365184
30/08/2019,14:00,3130,0,0,8.980914298
30/08/2019,14:00,3140,0,0,7.078252001
30/08/2019,14:00,3150,0,0,8.61058078
30/08/2019,14:00,3160,0,0,7.769789989
30/08/2019,14:00,3170,0,0,7.818048395
30/08/2019,14:00,3180,0,0,7.774143196
30/08/2019,14:00,3190,0,0,7.632788353
30/08/2019,14:00,3200,0,0,7.4914957
30/08/2019,14:00,3210,0,0,8.080857706
30/08/2019,14:00,3220,0,0,8.694286727
30/08/2019,14:00,3230,0,0,8.817482478
30/08/2019,14:00,3240,0,0,7.822712545
30/08/2019,14:00,3250,0,0,7.766556178
30/08/2019,14:00,3260,0,0,7.746282672
30/08/2019,14:00,3270,0,0,7.88738876
30/08/2019,14:00,3280,0,0,8.141305091
30/08/2019,14:00,3290,0,0,7.813197679
30/08/2019,14:00,3300,0,0,6.413579518
30/08/2019,14:00,3310,0,0,7.260775741
30/08/2019,14:00,3320,0,0,6.750579909
30/08/2019,14:00,3330,0,0,6.978066057
30/08/2019,14:00,3340,0,0,7.718422149
30/08/2019,14:00,3350,0,0,7.786891873
30/08/2019,14:00,3360,0,0,8.008096965
30/08/2019,14:00,3370,0,0,7.641867899
30/08/2019,14:00,3380,0,0,8.627558286
30/08/2019,14:00,3390,0,0,7.582913042
30/08/2019,14:00,3400,0,0,7.538883465
30/08/2019,14:00,3410,0,0,7.129744218
30/08/2019,14:00,3420,0,0,7.239196274
30/08/2019,14:00,3430,0,0,7.671842837
30/08/2019,14:00,3440,0,0,7.343797613
30/08/2019,14:00,3450,0,0,8.431042096
30/08/2019,14:00,3460,0,0,8.842855455
30/08/2019,14:00,3470,0,0,7.731419581
30/08/2019,14:00,3480,0,0,8.074203519
30/08/2019,14:00,3490,0,0,8.268791861
30/08/2019,14:00,3500,0,0,8.773950411
30/08/2019,14:00,3510,0,0,8.536140944
30/08/2019,14:00,3520,0,0,7.916493057
30/08/2019,14:00,3530,0,0,8.209712626
30/08/2019,14:00,3540,0,0,7.330737993
30/08/2019,14:00,3550,0,0,8.062512049
30/08/2019,14:00,3560,0,0,7.127256671
30/08/2019,14:00,3570,0,0,8.317423399
30/08/2019,14:00,3580,0,0,7.596221417
30/08/2019,14:00,3590,0,0,7.594791077
30/08/2019,14:00,3600,0,0,7.723148488
30/08/2019,14:00,3610,0,0,8.629548324
30/08/2019,14:00,3620,0,0,8.137076262
30/08/2019,14:00,3630,0,0,8.762196753
30/08/2019,14:00,3640,0,0,9.464182437
30/08/2019,14:00,3650,0,0,7.405177828
30/08/2019,14:00,3660,0,0,6.999272393
30/08/2019,14:00,3670,0,0,7.556047537
30/08/2019,14:00,3680,0,0,8.523889777
30/08/2019,14:00,3690,0,0,7.894727023
30/08/2019,14:00,3700,0,0,8.121715661
30/08/2019,14:00,3710,0,0,9.190179166
30/08/2019,14:00,3720,0,0,7.843172617
30/08/2019,14:00,3730,0,0,9.282156205
30/08/2019,14:00,3740,0,0,9.043911418
30/08/2019,14:00,3750,0,0,8.631289606
30/08/2019,14:00,3760,0,0,8.573454145
30/08/2019,14:00,3770,0,0,7.988010025
30/08/2019,14:00,3780,0,0,8.253680014
30/08/2019,14:00,3790,0,0,7.116871164
30/08/2019,14:00,3800,0,0,7.464816761
30/08/2019,14:00,3810,0,0,7.03627465
30/08/2019,14:00,3820,0,0,7.66002699
30/08/2019,14:00,3830,0,0,8.096218307
30/08/2019,14:00,3840,0,0,6.966498965
30/08/2019,14:00,3850,0,0,7.924639772
30/08/2019,14:00,3860,0,0,7.986206553
30/08/2019,14:00,3870,0,0,8.459711071
30/08/2019,14:00,3880,0,0,8.429673945
30/08/2019,14:00,3890,0,0,9.137256609
30/08/2019,14:00,3900,0,0,9.409642975
30/08/2019,14:00,3910,0,0,7.484530569
30/08/2019,14:00,3920,0,0,8.352000299
30/08/2019,14:00,3930,0,0,8.148581166
30/08/2019,14:00,3940,0,0,7.878557969
30/08/2019,14:00,3950,0,0,8.017300887
30/08/2019,14:00,3960,0,0,7.076697284
30/08/2019,14:00,3970,0,0,8.107661022
30/08/2019,14:00,3980,0,0,7.627502317
30/08/2019,14:00,3990,0,0,7.192865716
30/08/2019,14:00,4000,0,0,6.915939577
30/08/2019,14:00,4010,0,0,7.767737763
30/08/2019,14:00,4020,0,0,7.670101554
30/08/2019,14:00,4030,0,0,7.981977724
30/08/2019,14:00,4040,0,0,8.123767887
30/08/2019,14:00,4050,0,0,8.065061784
30/08/2019,14:00,4060,0,0,7.574144439
30/08/2019,14:00,4070,0,0,8.558217922
30/08/2019,14:00,4080,0,0,7.536644673
30/08/2019,14:00,4090,0,0,7.73987724
30/08/2019,14:00,4100,0,0,8.616302137
30/08/2019,14:00,4110,0,0,8.531974304
30/08/2019,14:00,4120,0,0,7.805050964
30/08/2019,14:00,4130,0,0,8.038631601
30/08/2019,14:00,4140,0,0,7.828744846
30/08/2019,14:00,4150,0,0,9.060391415
30/08/2019,14:00,4160,0,0,8.529922078
30/08/2019,14:00,4170,0,0,9.535885971
30/08/2019,14:00,4180,0,0,8.039813185
30/08/2019,14:00,4190,0,0,7.958035087
30/08/2019,14:00,4200,0,0,7.985771233
30/08/2019,14:00,4210,0,0,8.02370632
30/08/2019,14:00,4220,0,0,7.933408374
30/08/2019,14:00,4230,0,0,7.480177362
30/08/2019,14:00,4240,0,0,8.790679162
30/08/2019,14:00,4250,0,0,8.488939745
30/08/2019,14:00,4260,0,0,7.083973358
30/08/2019,14:00,4270,0,0,6.158916922
30/08/2019,14:00,4280,0,0,7.856356615
30/08/2019,14:00,4290,0,0,7.529555164
30/08/2019,14:00,4300,0,0,7.44106069
30/08/2019,14:00,4310,0,0,7.497030491
30/08/2019,14:00,4320,0,0,7.232293332
30/08/2019,14:00,4330,0,0,6.937705611
30/08/2019,14:00,4340,0,0,7.895535476
30/08/2019,14:00,4350,0,0,7.282666153
30/08/2019,14:00,4360,0,0,8.923016648
30/08/2019,14:00,4370,0,0,7.995783608
30/08/2019,14:00,4380,0,0,9.223823235
30/08/2019,14:00,4390,0,0,9.664056816
30/08/2019,14:00,4400,0,0,10.52381515
30/08/2019,14:00,4410,0,0,9.746394612
30/08/2019,14:00,4420,0,0,10.22394139
30/08/2019,14:00,4430,0,0,10.77853993
30/08/2019,14:00,4440,0,0,11.3637353
30/08/2019,14:00,4450,0,0,10.85011909
30/08/2019,14:00,4460,0,0,10.9960759
30/08/2019,14:00,4470,0,0,10.44533305
30/08/2019,14:00,4480,0,0,10.88544225
30/08/2019,14:00,4490,0,0,8.80106467
30/08/2019,14:00,4500,0,0,8.889186013
30/08/2019,14:00,4510,0,0,8.779049882
30/08/2019,14:00,4520,0,0,8.837134097
30/08/2019,14:00,4530,0,0,8.056355371
30/08/2019,14:00,4540,0,0,8.615742439
30/08/2019,14:00,4550,0,0,9.226994857
30/08/2019,14:00,4560,0,0,7.055677514
30/08/2019,14:00,4570,0,0,7.42283941
30/08/2019,14:00,4580,0,0,8.705916008
30/08/2019,14:00,4590,0,0,7.948582409
30/08/2019,14:00,4600,0,0,7.289382529
30/08/2019,14:00,4610,0,0,8.708465743
30/08/2019,14:00,4620,0,0,7.840063184
30/08/2019,14:00,4630,0,0,8.405731308
30/08/2019,14:00,4640,0,0,7.573087232
30/08/2019,14:00,4650,0,0,7.918545283
30/08/2019,14:00,4660,0,0,6.908663503
30/08/2019,14:00,4670,0,0,8.092984496
30/08/2019,14:00,4680,0,0,8.082474611
30/08/2019,14:00,4690,0,0,7.349581159
30/08/2019,14:00,4700,0,0,8.31176423
30/08/2019,14:00,4710,0,0,8.551936866
30/08/2019,14:00,4720,0,0,8.172461614
30/08/2019,14:00,4730,0,0,8.289500687
30/08/2019,14:00,4740,0,0,8.313256758
30/08/2019,14:00,4750,0,0,8.785082182
30/08/2019,14:00,4760,0,0,8.795281124
30/08/2019,14:00,4770,0,0,7.887326571
30/08/2019,14:00,4780,0,0,9.218226255
30/08/2019,14:00,4790,0,0,9.220713802
30/08/2019,14:00,4800,0,0,8.700878726
30/08/2019,14:00,4810,0,0,8.827557043
30/08/2019,14:00,4820,0,0,8.584461539
30/08/2019,14:00,4830,0,0,8.423330701
30/08/2019,14:00,4840,0,0,9.218723764
30/08/2019,14:00,4850,0,0,8.90939733
30/08/2019,14:00,4860,0,0,8.970404413
30/08/2019,14:00,4870,0,0,10.37170167
30/08/2019,14:00,4880,0,0,9.436695045
30/08/2019,14:00,4890,0,0,10.13762352
30/08/2019,14:00,4900,0,0,9.269780661
30/08/2019,14:00,4910,0,0,9.589057282
30/08/2019,14:00,4920,0,0,10.07375576
30/08/2019,14:00,4930,0,0,9.374755132
30/08/2019,14:00,4940,0,0,9.265738397
30/08/2019,14:00,4950,0,0,10.26853067
30/08/2019,14:00,4960,0,0,9.363063663
30/08/2019,14:00,4970,0,0,9.0335881
30/08/2019,14:00,4980,0,0,8.542608566
30/08/2019,14:00,4990,0,0,9.750125932
30/08/2019,14:00,5000,0,0,10.18662819
30/08/2019,14:00,5010,0,0,9.427553311
30/08/2019,14:00,5020,0,0,10.48438753
30/08/2019,14:00,5030,0,0,9.645027083
30/08/2019,14:00,5040,0,0,9.233711233
30/08/2019,14:00,5050,0,0,8.98408592
30/08/2019,14:00,5060,0,0,9.055291945
30/08/2019,14:00,5070,0,0,10.00497509
30/08/2019,14:00,5080,0,0,9.12226914
30/08/2019,14:00,5090,0,0,8.961573622
30/08/2019,14:00,5100,0,0,8.16984969
30/08/2019,14:00,5110,0,0,7.89908023
30/08/2019,14:00,5120,0,0,7.067244607
30/08/2019,14:00,5130,0,0,8.031542092
30/08/2019,14:00,5140,0,0,6.901511807
30/08/2019,14:00,5150,0,0,7.62221628
30/08/2019,14:00,5160,0,0,6.657296907
30/08/2019,14:00,5170,0,0,7.735275278
30/08/2019,14:00,5180,0,0,8.036206242
30/08/2019,14:00,5190,0,0,8.570842221
30/08/2019,14:00,5200,0,0,7.958035087
30/08/2019,14:00,5210,0,0,8.060832955
30/08/2019,14:00,5220,0,0,8.994968937
30/08/2019,14:00,5230,0,0,8.887631296
30/08/2019,14:00,5240,0,0,8.940056343
30/08/2019,14:00,5250,0,0,8.616053383
30/08/2019,14:00,5260,0,0,7.839876618
30/08/2019,14:00,5270,0,0,7.860896387
30/08/2019,14:00,5280,0,0,7.473523175
30/08/2019,14:00,5290,0,0,7.790374438
