date,time,frame,frequency,activity
29/08/2019,15:00:00,2350,0,6.0469375
29/08/2019,15:00:00,2360,0,5.980625
29/08/2019,15:00:00,2370,0,5.811125
29/08/2019,15:00:00,2380,0,5.3308125
29/08/2019,15:00:00,2390,0,5.797125
29/08/2019,15:00:00,2400,0,5.67825
29/08/2019,15:00:00,2410,0,2.5124375
29/08/2019,15:00:00,2420,2500,1.1195625
29/08/2019,15:00:00,2430,2500,0.972
29/08/2019,15:00:00,2440,2500,0.965
29/08/2019,15:00:00,2450,2500,0.978625
29/08/2019,15:00:00,2460,2500,0.7265625
29/08/2019,15:00:00,2470,2500,0.667375
29/08/2019,15:00:00,2480,2500,0.880125
29/08/2019,15:00:00,2490,2500,1.4074375
29/08/2019,15:00:00,2500,2500,1.3746875
29/08/2019,15:00:00,2510,2500,1.329
29/08/2019,15:00:00,2520,2500,1.440875
29/08/2019,15:00:00,2530,0,1.3393125
29/08/2019,15:00:00,2540,0,2.062875
29/08/2019,15:00:00,2550,0,2.614125
29/08/2019,15:00:00,2560,0,2.77525
29/08/2019,15:00:00,2570,0,3.711375
29/08/2019,15:00:00,2580,0,3.865375
29/08/2019,15:00:00,2590,0,4.500375
29/08/2019,15:00:00,2600,0,4.5681875
29/08/2019,15:00:00,2610,0,4.9486875
29/08/2019,15:00:00,2620,0,5.3268125
29/08/2019,15:00:00,2630,0,5.674875
29/08/2019,15:00:00,2640,0,5.658
29/08/2019,15:00:00,2650,0,5.516125
29/08/2019,15:00:00,2660,0,4.8574375
29/08/2019,15:00:00,2670,0,4.491875
29/08/2019,15:00:00,2680,0,4.79925
29/08/2019,15:00:00,2690,0,5.241125
29/08/2019,15:00:00,2700,0,4.9813125
29/08/2019,15:00:00,2710,0,4.890375
29/08/2019,15:00:00,2720,0,5.0665625
29/08/2019,15:00:00,2730,0,5.258875
29/08/2019,15:00:00,2740,0,5.2309375
29/08/2019,15:00:00,2750,0,5.386625
29/08/2019,15:00:00,2760,0,6.0565625
29/08/2019,15:00:00,2770,0,5.555
29/08/2019,15:00:00,2780,0,5.894375
29/08/2019,15:00:00,2790,0,3.92025
29/08/2019,15:00:00,2800,0,1.3134375
29/08/2019,15:00:00,2810,440,1.31525
29/08/2019,15:00:00,2820,440,0.9809375
29/08/2019,15:00:00,2830,440,1.0809375
29/08/2019,15:00:00,2840,440,1.4348125
29/08/2019,15:00:00,2850,440,1.464875
29/08/2019,15:00:00,2860,440,1.3390625
29/08/2019,15:00:00,2870,440,0.8119375
29/08/2019,15:00:00,2880,440,0.970375
29/08/2019,15:00:00,2890,440,0.8885
29/08/2019,15:00:00,2900,440,0.473
29/08/2019,15:00:00,2910,440,0.8369375
29/08/2019,15:00:00,2920,440,1.5274375
29/08/2019,15:00:00,2930,0,2.7031875
29/08/2019,15:00:00,2940,0,3.006
29/08/2019,15:00:00,2950,0,3.462375
29/08/2019,15:00:00,2960,0,3.9939375
29/08/2019,15:00:00,2970,0,4.1439375
29/08/2019,15:00:00,2980,0,3.8925625
29/08/2019,15:00:00,2990,0,3.909875
29/08/2019,15:00:00,3000,0,4.1869375
29/08/2019,15:00:00,3010,0,4.8695
29/08/2019,15:00:00,3020,0,4.52275
29/08/2019,15:00:00,3030,0,4.8800625
29/08/2019,15:00:00,3040,0,5.0558125
29/08/2019,15:00:00,3050,0,5.492125
29/08/2019,15:00:00,3060,0,5.0603125
29/08/2019,15:00:00,3070,0,6.0001875
29/08/2019,15:00:00,3080,0,5.77025
29/08/2019,15:00:00,3090,0,5.5225625
29/08/2019,15:00:00,3100,0,5.65075
29/08/2019,15:00:00,3110,0,5.3785625
29/08/2019,15:00:00,3120,0,4.6979375
29/08/2019,15:00:00,3130,0,5.3821875
29/08/2019,15:00:00,3140,0,5.3655625
29/08/2019,15:00:00,3150,0,5.8040625
29/08/2019,15:00:00,3160,0,5.007375
29/08/2019,15:00:00,3170,0,4.864875
29/08/2019,15:00:00,3180,0,2.02675
29/08/2019,15:00:00,3190,250,1.8783125
29/08/2019,15:00:00,3200,250,1.9280625
29/08/2019,15:00:00,3210,250,2.151625
29/08/2019,15:00:00,3220,250,2.5416875
29/08/2019,15:00:00,3230,250,3.1695
29/08/2019,15:00:00,3240,250,2.8598125
29/08/2019,15:00:00,3250,250,2.535875
29/08/2019,15:00:00,3260,250,2.6843125
29/08/2019,15:00:00,3270,250,2.1460625
29/08/2019,15:00:00,3280,250,2.4863125
29/08/2019,15:00:00,3290,250,2.344375
29/08/2019,15:00:00,3300,0,2.5915
29/08/2019,15:00:00,3310,0,3.9335
29/08/2019,15:00:00,3320,0,4.32775
29/08/2019,15:00:00,3330,0,4.3771875
29/08/2019,15:00:00,3340,0,4.591125
29/08/2019,15:00:00,3350,0,5.1203125
29/08/2019,15:00:00,3360,0,4.3370625
29/08/2019,15:00:00,3370,0,4.94925
29/08/2019,15:00:00,3380,0,5.208
29/08/2019,15:00:00,3390,0,4.932375
29/08/2019,15:00:00,3400,0,4.6548125
29/08/2019,15:00:00,3410,0,5.8219375
29/08/2019,15:00:00,3420,0,5.619875
29/08/2019,15:00:00,3430,0,5.42325
29/08/2019,15:00:00,3440,0,5.2715625
29/08/2019,15:00:00,3450,0,5.24225
29/08/2019,15:00:00,3460,0,3.9114375
29/08/2019,15:00:00,3470,0,4.486
29/08/2019,15:00:00,3480,0,4.400125
29/08/2019,15:00:00,3490,0,5.13525
29/08/2019,15:00:00,3500,0,4.5861875
29/08/2019,15:00:00,3510,0,4.6264375
29/08/2019,15:00:00,3520,0,5.0309375
29/08/2019,15:00:00,3530,0,5.6383125
29/08/2019,15:00:00,3540,0,5.1420625
29/08/2019,15:00:00,3550,0,6.334375
29/08/2019,15:00:00,3560,0,3.083
29/08/2019,15:00:00,3570,0,0.512875
29/08/2019,15:00:00,3580,440,0.4680625
29/08/2019,15:00:00,3590,440,0.630375
29/08/2019,15:00:00,3600,440,0.56425
29/08/2019,15:00:00,3610,440,0.774125
29/08/2019,15:00:00,3620,440,0.833
29/08/2019,15:00:00,3630,440,1.2924375
29/08/2019,15:00:00,3640,440,0.975
29/08/2019,15:00:00,3650,440,0.6548125
29/08/2019,15:00:00,3660,440,0.599125
29/08/2019,15:00:00,3670,440,0.6515625
29/08/2019,15:00:00,3680,440,0.7204375
29/08/2019,15:00:00,3690,440,1.939
29/08/2019,15:00:00,3700,0,2.78775
29/08/2019,15:00:00,3710,0,3.628125
29/08/2019,15:00:00,3720,0,3.5751875
29/08/2019,15:00:00,3730,0,3.879375
29/08/2019,15:00:00,3740,0,4.29575
29/08/2019,15:00:00,3750,0,4.881625
